user, protocol, ipaddress, datetime, eventlength
bwadmin,ssh:notty,35.156.47.134,2017-03-19 00:42:00,00:00
jira,ssh:notty,35.156.47.134,2017-03-19 00:41:00,00:00
jira,ssh:notty,35.156.47.134,2017-03-19 00:39:00,00:00
jira,ssh:notty,35.156.47.134,2017-03-19 00:38:00,00:00
jira,ssh:notty,35.156.47.134,2017-03-19 00:37:00,00:00
sybase,ssh:notty,35.156.47.134,2017-03-19 00:35:00,00:00
sybase,ssh:notty,35.156.47.134,2017-03-19 00:34:00,00:00
sybase,ssh:notty,35.156.47.134,2017-03-19 00:32:00,00:00
sybase,ssh:notty,35.156.47.134,2017-03-19 00:31:00,00:00
weblogic,ssh:notty,35.156.47.134,2017-03-19 00:30:00,00:00
weblogic,ssh:notty,35.156.47.134,2017-03-19 00:28:00,00:00
weblogic,ssh:notty,35.156.47.134,2017-03-19 00:27:00,00:00
ftpuser,ssh:notty,35.156.47.134,2017-03-19 00:25:00,00:00
ftpuser,ssh:notty,35.156.47.134,2017-03-19 00:24:00,00:00
ftpuser,ssh:notty,35.156.47.134,2017-03-19 00:22:00,00:00
ftpuser,ssh:notty,35.156.47.134,2017-03-19 00:21:00,00:00
emma,ssh:notty,35.156.47.134,2017-03-19 00:20:00,00:00
emma,ssh:notty,35.156.47.134,2017-03-19 00:18:00,00:00
emma,ssh:notty,35.156.47.134,2017-03-19 00:17:00,00:00
emma,ssh:notty,35.156.47.134,2017-03-19 00:16:00,00:00
test,ssh:notty,185.110.132.203,2017-03-19 00:15:00,00:00
mike,ssh:notty,35.156.47.134,2017-03-19 00:14:00,00:00
mike,ssh:notty,35.156.47.134,2017-03-19 00:13:00,00:00
mike,ssh:notty,35.156.47.134,2017-03-19 00:11:00,00:00
mike,ssh:notty,35.156.47.134,2017-03-19 00:10:00,00:00
terry,ssh:notty,35.156.47.134,2017-03-19 00:09:00,00:00
terry,ssh:notty,35.156.47.134,2017-03-19 00:07:00,00:00
terry,ssh:notty,35.156.47.134,2017-03-19 00:06:00,00:00
terry,ssh:notty,35.156.47.134,2017-03-19 00:04:00,00:00
alex,ssh:notty,35.156.47.134,2017-03-19 00:03:00,00:00
alex,ssh:notty,35.156.47.134,2017-03-19 00:02:00,00:00
alex,ssh:notty,35.156.47.134,2017-03-19 00:00:00,00:00
alex,ssh:notty,35.156.47.134,2017-03-18 23:59:00,00:00
dspace,ssh:notty,35.156.47.134,2017-03-18 23:57:00,00:00
dspace,ssh:notty,35.156.47.134,2017-03-18 23:56:00,00:00
dspace,ssh:notty,35.156.47.134,2017-03-18 23:55:00,00:00
dspace,ssh:notty,35.156.47.134,2017-03-18 23:53:00,00:00
deploy,ssh:notty,35.156.47.134,2017-03-18 23:52:00,00:00
deploy,ssh:notty,35.156.47.134,2017-03-18 23:50:00,00:00
deploy,ssh:notty,35.156.47.134,2017-03-18 23:49:00,00:00
deploy,ssh:notty,35.156.47.134,2017-03-18 23:48:00,00:00
ubuntu,ssh:notty,35.156.47.134,2017-03-18 23:46:00,00:00
ubuntu,ssh:notty,35.156.47.134,2017-03-18 23:45:00,00:00
ubuntu,ssh:notty,35.156.47.134,2017-03-18 23:43:00,00:00
ubuntu,ssh:notty,35.156.47.134,2017-03-18 23:42:00,00:00
tomcat,ssh:notty,35.156.47.134,2017-03-18 23:41:00,00:00
tomcat,ssh:notty,35.156.47.134,2017-03-18 23:39:00,00:00
tomcat,ssh:notty,35.156.47.134,2017-03-18 23:38:00,00:00
tomcat,ssh:notty,35.156.47.134,2017-03-18 23:36:00,00:00
jboss,ssh:notty,35.156.47.134,2017-03-18 23:35:00,00:00
jboss,ssh:notty,35.156.47.134,2017-03-18 23:33:00,00:00
jboss,ssh:notty,35.156.47.134,2017-03-18 23:32:00,00:00
jboss,ssh:notty,35.156.47.134,2017-03-18 23:31:00,00:00
git,ssh:notty,35.156.47.134,2017-03-18 23:29:00,00:00
git,ssh:notty,35.156.47.134,2017-03-18 23:28:00,00:00
git,ssh:notty,35.156.47.134,2017-03-18 23:26:00,00:00
git,ssh:notty,35.156.47.134,2017-03-18 23:25:00,00:00
git,ssh:notty,35.156.47.134,2017-03-18 23:23:00,00:00
git,ssh:notty,35.156.47.134,2017-03-18 23:22:00,00:00
zabbix,ssh:notty,35.156.47.134,2017-03-18 23:21:00,00:00
zabbix,ssh:notty,35.156.47.134,2017-03-18 23:19:00,00:00
zabbix,ssh:notty,35.156.47.134,2017-03-18 23:18:00,00:00
zabbix,ssh:notty,35.156.47.134,2017-03-18 23:16:00,00:00
postgres,ssh:notty,35.156.47.134,2017-03-18 23:15:00,00:00
postgres,ssh:notty,35.156.47.134,2017-03-18 23:14:00,00:00
postgres,ssh:notty,35.156.47.134,2017-03-18 23:12:00,00:00
postgres,ssh:notty,35.156.47.134,2017-03-18 23:11:00,00:00
postgres,ssh:notty,35.156.47.134,2017-03-18 23:10:00,00:00
postgres,ssh:notty,35.156.47.134,2017-03-18 23:08:00,00:00
nagios,ssh:notty,35.156.47.134,2017-03-18 23:07:00,00:00
nagios,ssh:notty,35.156.47.134,2017-03-18 23:06:00,00:00
user,ssh:notty,185.110.132.203,2017-03-18 23:05:00,00:00
